City,FID
Singapore,169.38819143511114
HongKong,133.30748752887763
Munich,114.00669538795569
Stockholm,147.8491084265042
Chicago,106.74194099538147
Orlando,104.91732290288229
Kinshasa,147.84341555816854
SaoPaulo,170.3338089587386
Mexico,110.51652464636152
Kigali,123.55549188060394
