base,city,img1_L2,img2_L2,img3_L2,mean_L2,max_L2,up25per_L2,img1_PSNR,img2_PSNR,img3_PSNR,mean_PSNR,max_PSNR,up25per_PSNR,img1_SSIM,img2_SSIM,img3_SSIM,mean_SSIM,max_SSIM,up25per_SSIM,img1_LPIPS,img2_LPIPS,img3_LPIPS,mean_LPIPS,max_LPIPS,up25per_LPIPS
29_46_r1_d0,Kinshasa,78.89970398,77.62539673,77.99059296,78.17189789,78.89970398,78.44514847,13.8346653,13.9760952,13.93532848,13.91536299,13.9760952,13.95571184,0.066132523,0.069533601,0.058730729,0.064798951,0.069533601,0.067833062,0.38335079,0.3731969,0.36888501,0.375144233,0.38335079,0.378273845
12_36_r1_d2,HongKong,112.8097,122.140831,118.775238,117.9085897,122.140831,120.4580345,10.72924328,10.03895473,10.28165436,10.34995079,10.72924328,10.50544882,0.061765153,0.047104761,0.055138685,0.054669533,0.061765153,0.058451919,0.53728354,0.526691377,0.54058826,0.534854392,0.54058826,0.5389359
75_54_r0_d1,Orlando,111.8624802,107.917984,128.1291656,115.9698766,128.1291656,119.9958229,10.59566689,10.83743,9.520419121,10.31783867,10.83743,10.71654844,0.108619779,0.119122565,0.103519648,0.110420664,0.119122565,0.113871172,0.513786554,0.517807782,0.505580842,0.512391726,0.517807782,0.515797168
16_18_r0_d1,Munich,113.7102127,107.3093109,115.2402573,112.0865936,115.2402573,114.475235,10.66018295,11.16342354,10.54408836,10.78923162,11.16342354,10.91180325,0.045553781,0.056236256,0.058251239,0.053347092,0.058251239,0.057243748,0.392817259,0.45126605,0.388446301,0.410843203,0.45126605,0.422041655
33_16_r0_d0,HongKong,111.2097702,111.9581146,101.6269531,108.264946,111.9581146,111.5839424,10.85331345,10.79506111,11.63599396,11.09478951,11.63599396,11.2446537,0.102028958,0.106662728,0.103841536,0.104177741,0.106662728,0.105252132,0.58280313,0.572759867,0.50042367,0.551995556,0.58280313,0.577781498
60_34_r1_d0,Kinshasa,90.63503265,70.91178894,90.74105835,84.09595998,90.74105835,90.6880455,12.63024998,14.72767353,12.62009525,13.32600625,14.72767353,13.67896175,0.201188147,0.502516866,0.19887875,0.300861254,0.502516866,0.351852506,0.635244727,0.386000723,0.701301575,0.574182341,0.701301575,0.668273151
30_76_r0_d1,Singapore,146.4781036,151.2376862,148.0193329,148.5783742,151.2376862,149.6285095,8.460718155,8.182972908,8.369804382,8.337831815,8.460718155,8.415261269,0.02942119,0.034003552,0.041315001,0.034913247,0.041315001,0.037659276,0.563785434,0.548541069,0.547567725,0.553298076,0.563785434,0.556163251
14_31_r2_d0,HongKong,130.1153564,122.000412,129.9703979,127.3620555,130.1153564,130.0428772,9.489601135,10.04894638,9.499282837,9.679276784,10.04894638,9.774114609,0.039894961,0.051659856,0.053734213,0.048429677,0.053734213,0.052697035,0.43904081,0.424209118,0.437506646,0.433585525,0.43904081,0.438273728
28_37_r0_d0,Singapore,129.9737244,132.8541718,137.0717468,133.299881,137.0717468,134.9629593,9.499060631,9.308668137,9.037213326,9.281647364,9.499060631,9.403864384,0.042045657,0.051381454,0.029853016,0.041093376,0.051381454,0.046713555,0.510673165,0.49071613,0.524555087,0.508648127,0.524555087,0.517614126
28_18_r1_d2,Kigali,87.17160034,85.95025635,82.71453094,85.27879588,87.17160034,86.56092834,12.9686718,13.09122849,13.42453575,13.16147868,13.42453575,13.25788212,0.052309088,0.070992343,0.071162581,0.064821338,0.071162581,0.071077462,0.433264613,0.435512424,0.432871282,0.433882773,0.435512424,0.434388518
