,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Target,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Total built-up surface area,Total built-up surface area,Total built-up surface area,Total built-up surface area,Total built-up surface area,Total built-up surface area,Total built-up surface area,Total built-up surface area,Total built-up surface area,Total built-up surface area,Total built-up surface area,Total built-up volume,Total built-up volume,Total built-up volume,Total built-up volume,Total built-up volume,Total built-up volume,Total built-up volume,Total built-up volume,Total built-up volume,Total built-up volume,Total built-up volume
City,All,chicago,hongkong,kigali,kinshasa,mexico,munich,orlando,saopaulo,singapore,stockholm,All,chicago,hongkong,kigali,kinshasa,mexico,munich,orlando,saopaulo,singapore,stockholm,All,chicago,hongkong,kigali,kinshasa,mexico,munich,orlando,saopaulo,singapore,stockholm
N,897,87,78,84,102,90,63,129,93,87,84,897,87,78,84,102,90,63,129,93,87,84,897,87,78,84,102,90,63,129,93,87,84
R2,0.4588133645705945,-0.0748503545832501,0.3776843330957173,0.5712028790348267,0.586585856360629,0.4148272334461782,0.3919492240484075,0.0689594825178059,-0.1169432301770647,-2.123054693472808,-0.1413926426182428,0.8882317088065612,0.7721264861558892,0.8813595844084957,0.973766553817461,0.8741738079645561,0.8951951299432379,0.9164340460139412,0.8078690794659108,0.5739611272666416,0.6433283759426356,0.8649908963201403,0.5000677042710671,0.0928991561470443,0.7456156682511248,0.8660563158304433,0.7976467896568716,0.1775807083211842,0.1032442765983913,0.4361709215848067,-1.131790836496053,-0.3666565215804105,0.7646512448605234
RMSE,2246.8102248756572,661.5277998066124,5399.925435663212,624.4716377146428,2638.0086089268257,857.5107642938863,631.8538139106169,220.26471604176407,1192.3034016006927,3656.4199181239455,977.0336263407136,8.091320626816117,9.701925727972071,7.1605083131169325,3.0696850873475876,11.012930105777226,7.079866805751465,4.690016326970032,6.441233802826066,7.318495985709679,12.385465935226003,6.725199095552666,310.0173663469605,421.9369776505764,406.6802067428488,91.21166371458156,116.72866652587084,200.59845868689405,168.44277917264418,122.15258956500756,484.56954101571574,528.4803752284665,164.18310009193934
MAE,1128.4895589089845,436.411361404945,3628.771625296275,368.34393905003856,1830.2602266835224,676.2502580118179,412.7035450587198,147.97398013107536,920.9690160279632,2627.721782892326,635.7419229189555,5.8309760419496115,7.979716266708812,5.642163200561817,2.5016164542663657,7.419111937751958,5.410345541073216,3.9134200538907735,4.780295208789582,5.664412000102383,9.205695754846278,5.373283026970569,199.38454704597643,290.8901471280504,299.9039573186483,63.22686585244678,84.47045514069349,139.3158204756843,126.0407467221457,88.46941679096963,388.8008659116685,437.8058553990961,120.02152942191988
